1 | Patrat | Jolly | Cheri Berry | Super Fang | Crunch | Hypnosis | Sand-Attack | Atk/Spd
264 | Weezing | Impish | Payapa Berry | Pain Split | Explosion | Haze | Will-O-Wisp | HP/Def
265 | Kangaskhan | Adamant | Sitrus Berry | Dizzy Punch | Fake Out | Chip Away | Roar | Atk/Spd
266 | Tauros | Naughty | Liechi Berry | Earthquake | Rock Slide | Endure | Substitute | Atk/Spd
267 | Spiritomb | Calm | Sitrus Berry | Sucker Punch | Pain Split | Toxic | Grudge | HP/SpD
268 | Cryogonal | Timid | Charti Berry | Icy Wind | Ice Beam | Confuse Ray | Light Screen | Def/Spd
269 | Druddigon | Bold | Chople Berry | Crunch | Scary Face | Glare | Dragon Tail | Atk/Def
270 | Musharna | Mild | Zoom Lens | Hypnosis | Dream Eater | Calm Mind | Helping Hand | Def/SpA/SpD
271 | Scrafty | Naughty | Liechi Berry | Fake Out | Bulk Up | Focus Punch | Substitute | HP/Atk
272 | Ferrothorn | Impish | Leftovers | Iron Head | Thunder Wave | Sandstorm | Ingrain | HP/Def
273 | Alakazam | Timid | TwistedSpoon | Energy Ball | Psychic | Telekinesis | Guard Split | Spd/SpA
274 | Slowking | Calm | Sitrus Berry | Psyshock | Water Pulse | Trick Room | Heal Pulse | SpA/SpD
275 | Miltank | Jolly | Lum Berry | Body Slam | Helping Hand | Milk Drink | Heal Bell | HP/Spd
276 | Altaria | Calm | Pecha Berry | Sing | Cotton Guard | Echoed Voice | Roost | HP/SpD
277 | Toxicroak | Lonely | Dark Gem | Fake Out | Brick Break | Sucker Punch | Taunt | Atk/Spd
278 | Gothitelle | Sassy | Chesto Berry | Fake Tears | Psychic | Rest | Calm Mind | HP/Def/Spd
279 | Reuniclus | Bold | Sitrus Berry | Psychic | Energy Ball | Recover | Wonder Room | HP/Def/SpA
280 | Bisharp | Lax | Sitrus Berry | Night Slash | Metal Claw | Taunt | Metal Burst | HP/Def
281 | Abomasnow | Impish | Leftovers | Frost Breath | Icy Wind | Leech Seed | Ingrain | HP/Def/SpD
282 | Nidoqueen | Relaxed | Payapa Berry | Chip Away | Swagger | Helping Hand | Flatter | HP/Def/SpD
283 | Nidoking | Naughty | King's Rock | Bulldoze | Megahorn | Rock Slide | Hone Claws | HP/Atk
284 | Cradily | Bold | Charti Berry | Stealth Rock | Gastro Acid | Stockpile | Swallow | Def/SpD
285 | Armaldo | Brave | Chesto Berry | X-Scissor | Rock Blast | Rest | Curse | HP/SpD
286 | Rampardos | Brave | Passho Berry | Rock Slide | Crunch | Curse | Protect | Atk/Def/SpD
287 | Bastiodon | Careful | Enigma Berry | Iron Head | Taunt | Wide Guard | Metal Burst | HP/Atk
288 | Floatzel | Naive | Binding Band | Aqua Tail | Protect | Pursuit | Whirlpool | Atk/Spd
289 | Mismagius | Naive | Colbur Berry | Taunt | Protect | Imprison | Shadow Ball | HP/Spd
290 | Carracosta | Naughty | Sitrus Berry | Aqua Tail | Rock Slide | Shell Smash | Iron Defense | HP/Atk
291 | Escavalier | Brave | Liechi Berry | Megahorn | Quick Guard | Swords Dance | Reversal | HP/Atk
292 | Accelgor | Hasty | Focus Sash | Encore | Bug Buzz | Giga Drain | Me First | Spd/SpA
293 | Zebstrika | Naughty | Electric Gem | Swagger | Volt Switch | Wild Charge | Pursuit | HP/Atk
294 | Drifblim | Bold | Salac Berry | Calm Mind | Stockpile | Memento | Baton Pass | Def/SpD
295 | Seismitoad | Rash | Chesto Berry | Round | Rest | Water Pulse | Sludge Wave | Def/SpA/SpD
296 | Poliwrath | Naughty | Sitrus Berry | Ice Beam | Waterfall | Psychic | Work Up | HP/Atk/SpA
297 | Rapidash | Naughty | Passho Berry | Bounce | Flame Charge | Low Kick | Charm | Atk/Spd
298 | Muk | Brave | Black Sludge | Poison Jab | Stockpile | Swallow | Memento | Atk/Def
299 | Gengar | Timid | Focus Sash | Shadow Ball | Dream Eater | Nightmare | Hypnosis | Spd/SpA
300 | Ampharos | Mild | Shuca Berry | Power Gem | Thunder Wave | Discharge | Charge Beam | HP/SpA/SpD
301 | Politoed | Modest | Full Incense | Waterfall | Encore | Swagger | Bounce | Spd/SpA
302 | Pinsir | Naughty | Persim Berry | Bug Bite | Brick Break | Thrash | Swords Dance | Atk/Spd
303 | Scizor | Brave | Occa Berry | Metal Claw | Night Slash | Aerial Ace | Swords Dance | HP/Def
304 | Heracross | Brave | Black Belt | Aerial Ace | Pursuit | Swords Dance | Brick Break | HP/Atk/Def
305 | Ursaring | Adamant | Chesto Berry | Thrash | Crunch | Rest | Counter | Atk/Def/SpD
306 | Houndoom | Adamant | Charcoal | Incinerate | Flame Charge | Will-O-Wisp | Sucker Punch | Atk/Spd
307 | Donphan | Brave | Metronome | Earthquake | Scary Face | Rollout | Defense Curl | Atk/Def
308 | Wailord | Brave | Chesto Berry | Waterfall | Heavy Slam | Curse | Rest | Atk/Def/SpD
309 | Claydol | Calm | Absorb Bulb | Psychic | Ice Beam | Protect | Calm Mind | HP/SpD
310 | Bronzong | Impish | Sitrus Berry | Hypnosis | Rain Dance | Gyro Ball | Trick Room | HP/Def/SpD
311 | Drapion | Bold | Scope Lens | Night Slash | Taunt | Toxic Spikes | X-Scissor | HP/Def
312 | Luxray | Lonely | Magnet | Wild Charge | Crunch | Captivate | Swagger | Atk/SpD
313 | Ninetales | Modest | Passho Berry | Will-O-Wisp | Hypnosis | Extrasensory | Heat Wave | Spd/SpA
314 | Machamp | Brave | Rawst Berry | DynamicPunch | Payback | Foresight | Wide Guard | HP/Atk
315 | Shuckle | Careful | Binding Band | Power Split | Encore | Gastro Acid | Sand Tomb | HP/SpD
316 | Roserade | Calm | Big Root | Toxic | Leech Seed | Protect | Giga Drain | HP/Def
317 | Honchkrow | Quiet | Sitrus Berry | Psychic | Dark Pulse | Protect | Nasty Plot | Def/SpA/SpD
318 | Gigalith | Naughty | Rawst Berry | Bulldoze | Rock Blast | Gravity | Curse | HP/Atk/Def
319 | Conkeldurr | Bold | Black Belt | Rock Slide | Force Palm | SmellingSalt | Bulk Up | HP/Def/SpD
320 | Excadrill | Naughty | Soft Sand | Hone Claws | Rock Slide | Drill Run | Iron Defense | Atk/Def
321 | Krookodile | Naughty | BlackGlasses | Crunch | Bulldoze | Taunt | Counter | Atk/Def/SpD
322 | Steelix | Impish | Chesto Berry | Earthquake | Rest | Curse | Stealth Rock | HP/SpD
323 | Weavile | Hasty | Razor Fang | Fake Out | Taunt | Night Slash | Fling | Atk/Spd
324 | Gliscor | Naughty | Razor Fang | Acrobatics | Fling | U-turn | Swords Dance | Atk/Spd
325 | Zoroark | Naive | Focus Sash | Night Slash | Shadow Claw | Taunt | Counter | Atk/Spd
326 | Mandibuzz | Calm | Wacan Berry | Taunt | Flatter | Roost | Toxic | Spd/SpD
327 | Braviary | Adamant | King's Rock | Rock Slide | Air Slash | Tailwind | Sky Drop | Atk/Def/SpD
328 | Tentacruel | Hasty | Black Sludge | Ice Beam | Sludge Wave | Hex | Toxic Spikes | Spd/SpA
329 | Aerodactyl | Jolly | Choice Band | Rock Slide |  |  |  | Atk/Spd
330 | Porygon2 | Modest | Sitrus Berry | Blizzard | Magic Coat | Lock-On | Zap Cannon | HP/SpA
331 | Lickilicky | Naive | Sitrus Berry | Thunderbolt | Ice Beam | Me First | Psych Up | HP/Def/SpA
332 | Yanmega | Rash | Cheri Berry | Air Slash | Bug Buzz | Detect | U-turn | SpA/SpD
333 | Gardevoir | Naive | Wide Lens | Hypnosis | Calm Mind | Imprison | Taunt | HP/Def/Spd
334 | Gallade | Hasty | Expert Belt | Shadow Sneak | Brick Break | Psycho Cut | Swords Dance | Atk/Spd
335 | Exeggutor | Mild | Petaya Berry | Psyshock | Grass Knot | Light Screen | Synthesis | Spd/SpA/SpD
336 | Starmie | Timid | Sitrus Berry | Psychic | Cosmic Power | Recover | Reflect Type | HP/Spd
337 | Flygon | Naive | Liechi Berry | Earthquake | Dragon Claw | Endure | Fire Blast | Atk/Spd
338 | Klinklang | Impish | Shuca Berry | Gear Grind | Thunder Wave | Screech | Volt Switch | HP/Spd
339 | Chandelure | Modest | Spell Tag | Flamethrower | Confuse Ray | Will-O-Wisp | Hex | HP/Spd/SpA
340 | Vaporeon | Quiet | Quick Claw | Wish | Surf | Helping Hand | Shadow Ball | Def/SpA
341 | Jolteon | Hasty | Magnet | Quick Attack | Thunderbolt | Thunder Wave | Swagger | Spd/SpA
342 | Flareon | Naughty | Focus Sash | Dig | Flail | Work Up | Fire Blast | Atk/SpA
343 | Espeon | Naive | Focus Sash | Yawn | Dream Eater | Calm Mind | Protect | Spd/SpA
344 | Umbreon | Impish | Leftovers | Confuse Ray | Payback | Curse | Moonlight | HP/Def
345 | Leafeon | Impish | Scope Lens | X-Scissor | Leaf Blade | Swords Dance | GrassWhistle | HP/Spd
346 | Glaceon | Rash | Quick Claw | Ice Shard | Blizzard | Mirror Coat | Helping Hand | HP/SpA
347 | Lucario | Modest | Black Belt | Metal Sound | Dark Pulse | Aura Sphere | Heal Pulse | Spd/SpA
348 | Hippowdon | Impish | Soft Sand | Earthquake | Crunch | Yawn | Whirlwind | Atk/Def
349 | Probopass | Calm | Cheri Berry | Smack Down | Volt Switch | Thunder Wave | Magnet Rise | HP/SpD
350 | Dusknoir | Bold | Leftovers | Disable | Will-O-Wisp | Pain Split | Mean Look | HP/Def
351 | Mienshao | Naive | Salac Berry | U-turn | Endure | Calm Mind | Baton Pass | HP/Spd
352 | Beartic | Brave | Sitrus Berry | Shadow Claw | Stone Edge | Avalanche | Bulk Up | Atk/SpA
353 | Bouffalant | Adamant | Silk Scarf | Head Charge | Pursuit | Scary Face | Aerial Ace | HP/Atk
354 | Aggron | Impish | Focus Sash | Protect | Roar | Stealth Rock | Metal Burst | HP/SpD
355 | Walrein | Calm | Chesto Berry | Frost Breath | Snore | Stockpile | Rest | Def/SpD
356 | Mamoswine | Adamant | Passho Berry | Double Hit | Earthquake | Ice Shard | Stealth Rock | Atk/Spd/SpD
357 | Lapras | Quiet | Damp Rock | Rain Dance | Thunder | Ice Shard | Confuse Ray | Def/SpA
358 | Crobat | Jolly | Charti Berry | Cross Poison | X-Scissor | Hypnosis | U-turn | Atk/Spd
359 | Magnezone | Rash | Magnet | Metal Sound | Flash Cannon | Thunderbolt | Magnet Rise | HP/SpA
360 | Rhyperior | Brave | Zoom Lens | Payback | Rock Blast | Stone Edge | Protect | HP/Atk/SpD
361 | Tangrowth | Bold | Big Root | Leech Seed | Ingrain | Giga Drain | Toxic | HP/Def/SpD
362 | Porygon-z | Modest | Wise Glasses | Psychic | Shadow Ball | Thunderbolt | Thunder Wave | Spd/SpA
363 | Vanilluxe | Calm | NeverMeltIce | Ice Beam | Frost Breath | Mirror Coat | Icy Wind | HP/SpA/SpD
364 | Eelektross | Quiet | Magnet | Discharge | Gastro Acid | Thunderbolt | Thunder Wave | HP/SpA
365 | Gyarados | Lonely | Muscle Band | Ice Fang | Aqua Tail | Thunder Wave | Dragon Dance | HP/Atk/Spd
366 | Snorlax | Adamant | Sitrus Berry | Body Slam | Wild Charge | Counter | Recycle | Atk/Def
367 | Kingdra | Adamant | Persim Berry | Waterfall | Quash | Protect | Outrage | HP/Atk/Spd
368 | Blissey | Calm | Leftovers | Attract | Thunder Wave | Heal Pulse | Aromatherapy | Def/SpD
369 | Milotic | Bold | Enigma Berry | Surf | Recover | Mirror Coat | Confuse Ray | HP/Def
370 | Electivire | Naughty | Expert Belt | Low Kick | Dig | Rock Slide | Screech | HP/Atk/Spd
371 | Magmortar | Adamant | Passho Berry | Flame Charge | Earthquake | Confuse Ray | Barrier | HP/Atk
372 | Haxorus | Hasty | Haban Berry | Dual Chop | Earthquake | Roar | Taunt | Atk/Spd
373 | Togekiss | Calm | Sitrus Berry | Encore | Thunder Wave | Reflect | Follow Me | HP/Spd
374 | Volcarona | Modest | Power Herb | Fire Spin | Heat Wave | SolarBeam | Whirlwind | HP/Spd
375 | Arcanine | Modest | Charcoal | Flamethrower | SolarBeam | Incinerate | Sunny Day | Spd/SpA
376 | Archeops | Jolly | Sitrus Berry | Quick Attack | Acrobatics | Crunch | U-turn | Atk/Spd
377 | Dragonite | Impish | Custap Berry | Toxic | Thunder Wave | Roost | Rock Slide | HP/Def/SpD
378 | Tyranitar | Impish | Iron Ball | Rock Slide | Stealth Rock | Thunder Wave | Fling | HP/SpD
379 | Salamence | Naughty | Yache Berry | Roost | Scary Face | Dragon Tail | Earthquake | Atk/Def/SpD
380 | Metagross | Naive | Occa Berry | Meteor Mash | Magnet Rise | Zen Headbutt | Agility | Atk/Spd
381 | Garchomp | Jolly | Lax Incense | Earthquake | Protect | Sandstorm | Sand Tomb | HP/Spd
382 | Hydreigon | Rash | Dragon Fang | Dragon Pulse | Earth Power | Surf | Dragon Tail | Atk/Spd
383 | Slaking | Naive | Chople Berry | Earthquake | Brick Break | Rock Slide | Encore | Atk/Spd
384 | Venusaur | Brave | Miracle Seed | Roar | Venoshock | Power Whip | Earthquake | HP/Atk/Def
385 | Charizard | Adamant | Charti Berry | Dragon Claw | Shadow Claw | Rock Slide | Dragon Dance | Atk/Spd
386 | Blastoise | Quiet | Zoom Lens | Hydro Pump | Ice Beam | Mist | Focus Blast | HP/SpA
387 | Meganium | Bold | Chesto Berry | GrassWhistle | Double Team | Substitute | Rest | HP/Def
388 | Typhlosion | Naive | Wide Lens | Inferno | Focus Blast | Extrasensory | Will-O-Wisp | Spd/SpA
389 | Feraligatr | Adamant | Liechi Berry | Superpower | Aqua Tail | Ice Fang | Dragon Dance | HP/Atk/Spd
390 | Sceptile | Hasty | Scope Lens | Leaf Blade | Night Slash | Earthquake | Swords Dance | Atk/Spd
391 | Blaziken | Adamant | Salac Berry | Blaze Kick | Flame Charge | Endure | Reversal | HP/Atk/Spd
392 | Swampert | Careful | Chesto Berry | Waterfall | Hammer Arm | Rest | Curse | HP/SpD
393 | Torterra | Jolly | Choice Scarf | Rock Slide | Earthquake | Wood Hammer | Tickle | Atk/Spd
394 | Infernape | Mild | Charcoal | Heat Wave | Will-O-Wisp | Grass Knot | Calm Mind | HP/Spd/SpA
395 | Empoleon | Lonely | Muscle Band | Drill Peck | Aqua Jet | Metal Claw | FeatherDance | HP/Atk/SpD
396 | Serperior | Sassy | Sitrus Berry | Leaf Tornado | Hidden Power | Mirror Coat | Captivate | HP/SpA/SpD
397 | Emboar | Brave | Quick Claw | Yawn | Wild Charge | Bulldoze | Heat Crash | Atk/Def/SpD
398 | Samurott | Quiet | Zoom Lens | Blizzard | Giga Impact | Detect | Hydro Pump | Atk/SpA
399 | Dugtrio | Lonely | Choice Band | Protect | Final Gambit | Earthquake | Rock Slide | HP/Spd
400 | Marowak | Brave | Iron Ball | Earthquake | Fling | Brick Break | Detect | HP/Atk
401 | Medicham | Timid | TwistedSpoon | Psychic | Shadow Ball | Energy Ball | Calm Mind | Spd/SpA
402 | Quagsire | Impish | Iron Ball | Earthquake | Stockpile | Fling | Swallow | HP/Def/SpD
403 | Granbull | Adamant | Silk Scarf | Charm | Double-Edge | Payback | Bulk Up | Atk/Def
404 | Jynx | Mild | Destiny Knot | Frost Breath | Fake Out | Psychic | Taunt | Spd/SpA
405 | Mr. Mime | Lonely | Jaboca Berry | Payback | Wide Guard | Quick Guard | Power Split | HP/Atk/SpD
406 | Lanturn | Calm | Sitrus Berry | Thunder Wave | Charge Beam | Stockpile | Swallow | Def/SpA
407 | Breloom | Jolly | Toxic Orb | Substitute | Seed Bomb | Wake-Up Slap | Spore | Atk/Spd
408 | Forretress | Naughty | Sitrus Berry | Spikes | Earthquake | Magnet Rise | Gyro Ball | HP/Atk
409 | Skarmory | Naughty | Cell Battery | Brave Bird | Steel Wing | Swords Dance | Roar | HP/Spd
410 | Absol | Adamant | Chople Berry | Sucker Punch | Magic Coat | Psycho Cut | Taunt | HP/Atk
411 | Whiscash | Adamant | Soft Sand | Aqua Tail | Earthquake | Zen Headbutt | Dragon Dance | HP/Atk/Def
412 | Hariyama | Careful | Custap Berry | Reversal | Bullet Punch | Protect | Belly Drum | Def/SpD
413 | Vespiquen | Quiet | Insect Plate | Attack Order | Power Gem | Captivate | Confuse Ray | HP/SpA
414 | Raichu | Jolly | Magnet | Brick Break | Electro Ball | Fake Out | Protect | Atk/Spd
415 | Dewgong | Rash | NeverMeltIce | Ice Shard | Signal Beam | Ice Beam | Encore | Spd/SpA
416 | Manectric | Modest | Charcoal | Flamethrower | Overheat | Discharge | Charge | Spd/SpA
417 | Staraptor | Adamant | Choice Scarf | Pursuit | Close Combat | Roost | Final Gambit | HP/Spd
418 | Gastrodon | Careful | Rindo Berry | Waterfall | Amnesia | Curse | Yawn | Atk/Def/SpD
419 | Skuntank | Adamant | Poison Barb | Pursuit | Foul Play | Poison Jab | Taunt | Atk/Spd
420 | Sawk | Naughty | Focus Sash | Earthquake | Payback | Endure | Reversal | Atk/Spd
421 | Throh | Brave | Expert Belt | Revenge | Storm Throw | Protect | Seismic Toss | Atk/Def
422 | Unfezant | Jolly | Power Herb | Giga Impact | Quick Attack | Hypnosis | Sky Attack | Atk/Spd
423 | Vileplume | Modest | Power Herb | SolarBeam | Sludge Bomb | Synthesis | Double Team | HP/SpA
424 | Victreebel | Rash | Grass Gem | Leaf Storm | Sleep Powder | Stockpile | Encore | Spd/SpA
425 | Electrode | Hasty | Focus Sash | Electro Ball | Taunt | Protect | Explosion | 
426 | Ludicolo | Naughty | Tanga Berry | Fake Out | Grass Knot | Surf | Tickle | HP/Atk/SpA
427 | Shiftry | Rash | Miracle Seed | Fake Out | Extrasensory | SolarBeam | Swagger | Spd/SpA
428 | Exploud | Lonely | Chople Berry | Crunch | Fake Tears | Ice Beam | Giga Impact | Atk/SpA
429 | Lopunny | Jolly | Liechi Berry | Charm | Focus Punch | Substitute | ThunderPunch | Atk/Spd
430 | Froslass | Lonely | Ice Gem | Ice Shard | Thunder Wave | Hex | Taunt | Atk/Spd
431 | Lilligant | Bold | Big Root | Ingrain | Leech Seed | Toxic | Protect | HP/Def/SpD
432 | Darmanitan | Naughty | Life Orb | Focus Energy | Hammer Arm | Flare Blitz | Swagger | HP/Atk/Spd
433 | Ambipom | Timid | Focus Sash | Grass Knot | Thunderbolt | Nasty Plot | Counter | Spd/SpA
434 | Cofagrigus | Quiet | Spell Tag | Shadow Ball | Energy Ball | Will-O-Wisp | Nasty Plot | HP/SpA
435 | Golurk | Brave | Wide Lens | Hammer Arm | Rock Slide | Curse | Gyro Ball | Atk/SpD
436 | Durant | Impish | Power Herb | Dig | Iron Defense | Agility | Baton Pass | Def/Spd
437 | Golem | Naughty | Absorb Bulb | Rock Slide | Earthquake | Bulldoze | Autotomize | Atk/Spd
438 | Slowbro | Modest | Quick Claw | Flamethrower | Ice Beam | Slack Off | Water Pulse | Def/SpA
439 | Weezing | Rash | Poison Gem | Sludge Bomb | Fire Blast | Stockpile | Swallow | HP/SpA
440 | Kangaskhan | Jolly | Salac Berry | Rock Slide | Sucker Punch | Endure | Reversal | Atk/Spd
441 | Tauros | Jolly | Expert Belt | Zen Headbutt | Wild Charge | Swagger | Giga Impact | Atk/Spd
442 | Spiritomb | Brave | Quick Claw | Shadow Sneak | Sucker Punch | Will-O-Wisp | Taunt | HP/Atk
443 | Cryogonal | Hasty | Occa Berry | Ice Shard | Slash | Poison Jab | Haze | Atk/Spd
444 | Druddigon | Lonely | Scope Lens | Dragon Claw | Night Slash | Slash | Hone Claws | HP/Def/SpD
445 | Musharna | Bold | Lum Berry | Shadow Ball | Energy Ball | Psychic | Trick Room | Def/SpA
446 | Scrafty | Jolly | Coba Berry | Hi Jump Kick | Rock Slide | Taunt | Dragon Dance | HP/Spd
447 | Ferrothorn | Careful | Chesto Berry | Rest | Payback | Gyro Ball | Curse | HP/SpD
448 | Alakazam | Timid | Focus Sash | Psych Up | Encore | Protect | Psychic | Spd/SpA
449 | Slowking | Gentle | King's Rock | Zen Headbutt | Earthquake | Swagger | Psych Up | Atk/SpD
450 | Miltank | Naive | Razor Fang | Body Slam | Fling | Brick Break | Captivate | Atk/Spd
451 | Altaria | Lonely | Yache Berry | Dragon Claw | Pluck | Mist | Hone Claws | Atk/SpD
452 | Toxicroak | Modest | Petaya Berry | Focus Blast | Sludge Bomb | Substitute | Protect | Spd/SpA
453 | Gothitelle | Modest | TwistedSpoon | Psyshock | Miracle Eye | Mirror Coat | Tickle | HP/Def/SpA
454 | Reuniclus | Brave | King's Rock | Rock Slide | Explosion | Gyro Ball | Trick Room | Atk/Def/SpD
455 | Bisharp | Adamant | Chople Berry | Aerial Ace | Low Sweep | Iron Head | Scary Face | HP/Atk
456 | Abomasnow | Lonely | Miracle Seed | Wood Hammer | Brick Break | Double Team | Blizzard | HP/Atk/SpA
457 | Nidoqueen | Mild | Absorb Bulb | Thunderbolt | Hyper Beam | Earth Power | Counter | HP/SpA
458 | Nidoking | Quiet | Black Sludge | Amnesia | Sludge Bomb | Flamethrower | Protect | HP/SpA
459 | Cradily | Brave | Quick Claw | Confuse Ray | Energy Ball | Stone Edge | Earthquake | HP/Atk/SpA
460 | Armaldo | Hasty | Razor Fang | Rock Slide | Earthquake | X-Scissor | Rock Polish | HP/Spd
461 | Rampardos | Naughty | Sitrus Berry | Head Smash | Stone Edge | Hammer Arm | Scary Face | Atk/Spd
462 | Bastiodon | Bold | Chesto Berry | Roar | Rest | Block | Iron Defense | HP/Def
463 | Floatzel | Hasty | Flame Orb | Aqua Jet | Switcheroo | Pursuit | Crunch | Atk/Spd
464 | Mismagius | Timid | Kasib Berry | Shadow Ball | Wonder Room | Grudge | Pain Split | HP/SpD
465 | Carracosta | Rash | Wide Lens | Rock Slide | Swagger | Blizzard | Hydro Pump | HP/SpA
466 | Escavalier | Naughty | Quick Claw | Pursuit | Counter | X-Scissor | Swords Dance | HP/Atk
467 | Accelgor | Modest | Petaya Berry | Energy Ball | Sludge Bomb | Bug Buzz | Endure | Spd/SpA
468 | Zebstrika | Timid | Magnet | Discharge | Thunder Wave | Thunder | Rain Dance | Spd/SpA
469 | Drifblim | Mild | Cell Battery | Hex | Thunderbolt | Dream Eater | Hypnosis | Spd/SpA
470 | Seismitoad | Brave | Iron Ball | Fling | Rock Slide | Poison Jab | Earthquake | Atk/SpD
471 | Poliwrath | Naive | Shell Bell | Brick Break | Waterfall | Hypnosis | Belly Drum | HP/Atk
472 | Rapidash | Hasty | Heat Rock | Will-O-Wisp | Fire Blast | SolarBeam | Sunny Day | Spd/SpA
473 | Muk | Lonely | Toxic Plate | Shadow Sneak | Poison Jab | Acid Armor | Flamethrower | Atk/SpA/SpD
474 | Gengar | Jolly | Expert Belt | Sucker Punch | Fire Punch | Ice Punch | Will-O-Wisp | Atk/Spd
475 | Ampharos | Brave | Lum Berry | Brick Break | ThunderPunch | Screech | Odor Sleuth | HP/Atk/Def
476 | Politoed | Brave | Water Gem | Thief | Echoed Voice | Refresh | Hydro Pump | Atk/SpA
477 | Pinsir | Lonely | Insect Plate | Feint | X-Scissor | Stone Edge | Bug Bite | Atk/Spd
478 | Scizor | Naughty | Insect Plate | Bullet Punch | X-Scissor | Feint | Agility | HP/Atk
479 | Heracross | Naughty | Salac Berry | Megahorn | Dig | Endure | Reversal | HP/Spd
480 | Ursaring | Jolly | Toxic Orb | Facade | Hammer Arm | Scary Face | Yawn | Atk/Spd
481 | Houndoom | Hasty | Focus Sash | Counter | Flame Charge | Roar | Protect | Atk/Spd
482 | Donphan | Adamant | Focus Sash | Endeavor | Flail | Roar | Giga Impact | Atk/SpD
483 | Wailord | Timid | Quick Claw | Water Spout | Rest | Sleep Talk | Ice Beam | Spd/SpA
484 | Claydol | Impish | Sitrus Berry | Sandstorm | Toxic | Cosmic Power | Explosion | HP/Def
485 | Bronzong | Quiet | Damp Rock | Rain Dance | Light Screen | Charge Beam | Grass Knot | HP/SpA
486 | Drapion | Naive | Dark Gem | Cross Poison | Crunch | Scary Face | Screech | Atk/Spd
487 | Luxray | Careful | Quick Claw | Charge Beam | Helping Hand | Discharge | Roar | HP/SpD
488 | Ninetales | Timid | Fire Gem | Heat Wave | Roar | Confuse Ray | Nasty Plot | HP/Spd
489 | Machamp | Brave | Expert Belt | Ice Punch | Cross Chop | Fire Punch | Focus Energy | HP/Atk
490 | Shuckle | Bold | Quick Claw | Power Trick | Encore | Rock Slide | Bug Bite | HP/Def
491 | Roserade | Modest | Occa Berry | Weather Ball | Energy Ball | Natural Gift | Attract | Spd/SpA
492 | Honchkrow | Brave | BlackGlasses | Sucker Punch | Taunt | Pursuit | Protect | Atk/SpD
493 | Gigalith | Naughty | Hard Stone | Iron Defense | Sandstorm | Lock-On | Rock Blast | HP/Def
494 | Conkeldurr | Brave | Iron Ball | Mach Punch | Hammer Arm | Bulk Up | Fling | Atk/SpD
495 | Excadrill | Adamant | Chople Berry | Dig | Metal Sound | Metal Claw | Swords Dance | Atk/Def
496 | Krookodile | Naughty | Rock Gem | Smack Down | Earthquake | Pursuit | Embargo | Atk/Def
497 | Steelix | Impish | Enigma Berry | Crunch | Curse | Gyro Ball | Screech | HP/Atk
498 | Weavile | Jolly | NeverMeltIce | Ice Shard | Ice Punch | Torment | Protect | Atk/Spd
499 | Gliscor | Impish | Liechi Berry | Agility | Acrobatics | Swords Dance | Baton Pass | HP/Def
500 | Zoroark | Jolly | Expert Belt | Grass Knot | Shadow Ball | Flamethrower | Nasty Plot | Spd/SpA
501 | Mandibuzz | Mild | Flying Gem | Dark Pulse | Air Slash | Shadow Ball | Nasty Plot | Spd/SpA
502 | Braviary | Naughty | Persim Berry | Thrash | Bulk Up | Superpower | Pluck | Atk/Spd
503 | Tentacruel | Hasty | Mystic Water | Rapid Spin | Poison Jab | Waterfall | Swords Dance | Atk/Spd
504 | Aerodactyl | Naive | Passho Berry | Crunch | Rock Slide | Roost | Sky Drop | Atk/Spd
505 | Porygon2 | Calm | Petaya Berry | Tri Attack | Psychic | Recycle | Recover | HP/Def/SpD
506 | Lickilicky | Adamant | Chople Berry | Gyro Ball | Rest | Curse | Sleep Talk | HP/Atk/Def/SpD
507 | Yanmega | Modest | Sitrus Berry | Psychic | Bug Buzz | Swagger | Substitute | HP/SpA
508 | Gardevoir | Naive | Lum Berry | Stored Power | Thunderbolt | Calm Mind | Ally Switch | Spd/SpA
509 | Gallade | Jolly | Scope Lens | Psycho Cut | Leaf Blade | Slash | Protect | Atk/Spd
510 | Exeggutor | Brave | Sitrus Berry | Wood Hammer | Curse | Egg Bomb | Synthesis | Atk/Spd/SpD
511 | Starmie | Modest | Mystic Water | Protect | Psychic | Hydro Pump | Rapid Spin | Spd/SpA
512 | Flygon | Naive | Haban Berry | Swagger | Quick Attack | Rock Slide | U-turn | Atk/Spd
513 | Klinklang | Mild | White Herb | Charge Beam | Metal Sound | Flash Cannon | Autotomize | Spd/SpA
514 | Chandelure | Timid | Chesto Berry | Energy Ball | Rest | Heat Wave | Will-O-Wisp | HP/Spd
515 | Vaporeon | Modest | Leftovers | Ice Beam | Hydro Pump | Acid Armor | Aqua Ring | Def/SpA
516 | Jolteon | Timid | Damp Rock | Thunder | Protect | Charm | Rain Dance | Spd/SpA
517 | Flareon | Impish | Charcoal | Will-O-Wisp | Charm | Flame Charge | Protect | HP/Def
518 | Espeon | Timid | Kasib Berry | Psyshock | Grass Knot | Telekinesis | Charm | HP/Spd
519 | Umbreon | Careful | Chople Berry | Payback | Moonlight | Stored Power | Work Up | HP/Atk
520 | Leafeon | Naive | Liechi Berry | Leaf Blade | Giga Impact | Substitute | Yawn | Atk/Spd
521 | Glaceon | Bold | Chesto Berry | Frost Breath | Shadow Ball | Rest | Barrier | HP/Def
522 | Lucario | Jolly | Focus Sash | Close Combat | Hone Claws | Endure | Reversal | Atk/Spd
